Datetime,Water Level (m)
2024-03-08 00:00:00,0.21408977
2024-03-08 01:00:00,0.49076387
2024-03-08 02:00:00,0.5151506
2024-03-08 03:00:00,0.3059494
2024-03-08 04:00:00,-0.082174875
2024-03-08 05:00:00,-0.61626434
2024-03-08 06:00:00,-1.148718
2024-03-08 07:00:00,-1.500147
2024-03-08 08:00:00,-1.5240309
2024-03-08 09:00:00,-1.1983883
2024-03-08 10:00:00,-0.6487771
2024-03-08 11:00:00,-0.03830582
2024-03-08 12:00:00,0.5042012
2024-03-08 13:00:00,0.877618
2024-03-08 14:00:00,0.9928382
2024-03-08 15:00:00,0.80475193
2024-03-08 16:00:00,0.37055704
2024-03-08 17:00:00,-0.22696364
2024-03-08 18:00:00,-0.8914563
2024-03-08 19:00:00,-1.4597716
2024-03-08 20:00:00,-1.7399173
2024-03-08 21:00:00,-1.6306255
2024-03-08 22:00:00,-1.2066697
2024-03-08 23:00:00,-0.5848471
2024-03-09 00:00:00,0.076356225
2024-03-09 01:00:00,0.6040783
2024-03-09 02:00:00,0.8369087
2024-03-09 03:00:00,0.7360766
2024-03-09 04:00:00,0.368213
2024-03-09 05:00:00,-0.20515555
2024-03-09 06:00:00,-0.88128656
2024-03-09 07:00:00,-1.4313637
2024-03-09 08:00:00,-1.7229067
2024-03-09 09:00:00,-1.6501276
2024-03-09 10:00:00,-1.1998196
2024-03-09 11:00:00,-0.5285647
2024-03-09 12:00:00,0.17967439
2024-03-09 13:00:00,0.7765952
2024-03-09 14:00:00,1.1497003
2024-03-09 15:00:00,1.1812531
2024-03-09 16:00:00,0.8681334
2024-03-09 17:00:00,0.28133327
2024-03-09 18:00:00,-0.47812775
2024-03-09 19:00:00,-1.2431309
2024-03-09 20:00:00,-1.7922449
2024-03-09 21:00:00,-1.947976
2024-03-09 22:00:00,-1.6640785
2024-03-09 23:00:00,-1.039681
2024-03-10 00:00:00,-0.2636234
2024-03-10 01:00:00,0.4508874
2024-03-10 02:00:00,0.9223448
2024-03-10 03:00:00,1.0659262
2024-03-10 04:00:00,0.84787494
2024-03-10 05:00:00,0.34492823
2024-03-10 06:00:00,-0.35165447
2024-03-10 07:00:00,-1.0661408
2024-03-10 08:00:00,-1.6228033
2024-03-10 09:00:00,-1.8736762
2024-03-10 10:00:00,-1.6814185
2024-03-10 11:00:00,-1.0904852
2024-03-10 12:00:00,-0.2959472
2024-03-10 13:00:00,0.48147553
2024-03-10 14:00:00,1.0554842
2024-03-10 15:00:00,1.2834834
2024-03-10 16:00:00,1.1433692
2024-03-10 17:00:00,0.69100404
2024-03-10 18:00:00,-0.021912832
2024-03-10 19:00:00,-0.84774566
2024-03-10 20:00:00,-1.5536762
2024-03-10 21:00:00,-1.9948224
2024-03-10 22:00:00,-2.0163517
2024-03-10 23:00:00,-1.5587577
2024-03-11 00:00:00,-0.7773947
2024-03-11 01:00:00,0.0484807
2024-03-11 02:00:00,0.7155736
2024-03-11 03:00:00,1.1234994
2024-03-11 04:00:00,1.1668857
2024-03-11 05:00:00,0.81444603
2024-03-11 06:00:00,0.18714873
2024-03-11 07:00:00,-0.5780954
2024-03-11 08:00:00,-1.2922329
2024-03-11 09:00:00,-1.7897558
2024-03-11 10:00:00,-1.894294
2024-03-11 11:00:00,-1.547754
2024-03-11 12:00:00,-0.86948127
2024-03-11 13:00:00,-0.06609215
2024-03-11 14:00:00,0.67935723
2024-03-11 15:00:00,1.18461
2024-03-11 16:00:00,1.3202342
2024-03-11 17:00:00,1.0506617
2024-03-11 18:00:00,0.45118535
2024-03-11 19:00:00,-0.35074633
2024-03-11 20:00:00,-1.1443279
2024-03-11 21:00:00,-1.7572618
2024-03-11 22:00:00,-2.0370498
2024-03-11 23:00:00,-1.8378127
2024-03-12 00:00:00,-1.2162762
2024-03-12 01:00:00,-0.40600288
2024-03-12 02:00:00,0.36386067
2024-03-12 03:00:00,0.9487165
2024-03-12 04:00:00,1.2491235
2024-03-12 05:00:00,1.1625494
2024-03-12 06:00:00,0.7073206
2024-03-12 07:00:00,0.020732306
2024-03-12 08:00:00,-0.7412811
2024-03-12 09:00:00,-1.3883282
2024-03-12 10:00:00,-1.775125
2024-03-12 11:00:00,-1.7450957
2024-03-12 12:00:00,-1.2877369
2024-03-12 13:00:00,-0.5732214
2024-03-12 14:00:00,0.20080459
2024-03-12 15:00:00,0.8385739
2024-03-12 16:00:00,1.2039812
2024-03-12 17:00:00,1.1856917
2024-03-12 18:00:00,0.78309816
2024-03-12 19:00:00,0.1276573
2024-03-12 20:00:00,-0.64227045
2024-03-12 21:00:00,-1.3387951
2024-03-12 22:00:00,-1.8202451
2024-03-12 23:00:00,-1.9177704
2024-03-13 00:00:00,-1.5646776
2024-03-13 01:00:00,-0.88772905
2024-03-13 02:00:00,-0.110683285
2024-03-13 03:00:00,0.5685094
2024-03-13 04:00:00,1.0366645
2024-03-13 05:00:00,1.1955916
2024-03-13 06:00:00,0.9859076
2024-03-13 07:00:00,0.47454673
2024-03-13 08:00:00,-0.20926315
2024-03-13 09:00:00,-0.8845875
2024-03-13 10:00:00,-1.4052119
2024-03-13 11:00:00,-1.6561706
2024-03-13 12:00:00,-1.5094202
2024-03-13 13:00:00,-1.0043272
2024-03-13 14:00:00,-0.30738595
2024-03-13 15:00:00,0.3516491
2024-03-13 16:00:00,0.8253356
2024-03-13 17:00:00,1.0280774
2024-03-13 18:00:00,0.87450117
2024-03-13 19:00:00,0.4111175
2024-03-13 20:00:00,-0.22815967
2024-03-13 21:00:00,-0.87716013
2024-03-13 22:00:00,-1.4193597
2024-03-13 23:00:00,-1.7482618
2024-03-14 00:00:00,-1.6857765
